class,_exit,_llseek,_tvf,accept,access,"admax_vars[\""u",allocation\nD/dalvikvm,an,bind,body.appendChild,brk,catch,cba,chdir,chmod,clock_getres,clock_gettime,clock_nanosleep,clone,close,commons.init,connect,document.createElement,dup,eK\f,ej,ena,epoll_create,epoll_ctl,epoll_wait,execve,exit_group,fchmod,fdatasync,flock,for,fork,fsync,ftruncate,function,futex,getSize,getSuid,getcwd,getpeername,getpgid,getpid,getppid,getpriority,getrlimit,getrusage,getsockname,getsockopt,gettid,gettimeofday,gtfs_trips,iQ,if,inet_addr,inotify_add_watch,inotify_init,inotify_rm_watch,ioctl,isNaN,kill,large,link,listen,ln,loadAd,lseek,madvise,mkdir,mlock,mprotect,msync,munlock,munmap,nanosleep,nu,oTÃ©\24\t,oU,open,parseInt,pipe,poll,prctl,read,readlink,readv,recvfrom,recvmsg,rename,restart_syscall,rgb,rgba,rmdir,rt_sigprocmask,rt_sigreturn,rt_sigtimedwait,scale3d,sched_get_priority_max,sched_get_priority_min,sched_getparam,sched_getscheduler,sched_setscheduler,sched_yield,"script\"":function",select,sendmsg,sendto,set_thread_area,setitimer,setpgid,setpriority,setsockopt,shutdown,sigaction,sigaltstack,sigprocmask,sigreturn,sigsuspend,socket,socketpair,st,st.nodeName,successionapostrophe,symlink,sysinfo,syslog,tgkill,this.A?Gy,thread.\nD/dalvikvm,timer_create,timerfd_create,timerfd_settime,tkill,to,truncate,uP,ukÂ»Ã¸R,umask,uname,unlink,url,utimes,vfork,waitpid,webviewDidAppear,webviewDidClose,webviewDidCloseHelper,window.addEventListener,write,writev,xS,yK
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,14,0,0,0,62,0,0,0,7,0,97,0,0,0,6,0,15771,0,13,694,0,12,0,288,0,0,0,0,440,1931,0,0,0,0,0,0,0,0,0,0,5564,0,0,0,0,0,1533,0,183,0,0,14,35,25,352,0,0,0,0,0,0,0,3376,0,0,0,0,0,0,0,2,375,0,0,2190,0,0,218,13,0,0,0,104,0,0,7,15,1127,0,0,6411,1,0,5,0,0,0,0,0,1,0,0,0,0,0,375,3,0,0,0,2584,12,0,0,0,12,0,0,26,699,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,604,441,0,0
0,104,262,0,0,325,0,0,0,53,0,1092,0,0,0,12,0,496034,0,145,4099,0,344,0,221,0,0,0,6,453,56344,1,1,1,315,2,0,1,3,583,0,120496,0,0,0,0,0,28521,0,114,3,0,151,520,2135,79468,0,0,0,72,0,0,0,9078,0,0,0,0,1,0,0,1038,2077,13,0,5170,1,0,3275,31,0,0,0,3193,0,45,47,281,22732,1,0,5446,147,2,4,0,0,0,0,0,1,0,0,0,0,0,346,11,0,96,146,2096,145,0,1,165,537,0,8,249,1715,0,0,500,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,77,0,0,0,0,0,0,0,0,16184,870,0,0
0,85,271,0,0,284,0,0,0,51,0,531,0,0,0,12,0,110297,0,116,2743,0,197,0,97,0,0,0,6,202,17957,1,1,1,285,2,0,1,3,194,0,40665,0,0,0,0,0,3340,0,61,3,0,120,429,1305,17138,0,0,0,0,0,0,0,3278,0,0,0,0,1,0,0,955,1475,13,0,4106,1,0,617,28,0,0,0,2271,0,56,45,170,13892,1,0,5453,78,2,3,0,0,0,0,0,1,0,0,0,0,0,165,9,0,106,77,2373,116,0,1,108,371,0,8,201,1020,0,0,290,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,65,0,0,0,0,0,0,0,0,8947,461,0,0
0,42,48,0,0,160,0,0,0,52,0,942,0,0,0,8,0,547353,0,90,5319,0,214,0,221,0,0,0,6,365,56010,1,1,1,30,2,0,1,7,418,0,165366,0,0,0,0,0,37840,0,409,3,0,126,344,952,94538,0,0,0,180,0,0,0,16248,0,0,0,0,1,0,0,241,1405,23,0,6889,1,0,3749,37,0,0,0,4669,0,15,33,216,19018,1,0,6576,53,11,3,0,0,0,0,16,2,0,0,0,50,50,972,7,0,27,51,1633,90,0,1,150,290,0,44,132,2466,0,0,377,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9973,1189,0,0
0,7,0,0,0,264,0,0,0,0,0,201,0,0,0,24,0,11459,0,8,268,0,0,0,48,0,0,0,0,36,1264,0,0,0,0,0,0,0,1,0,0,3277,0,0,0,0,0,830,0,91,0,0,0,0,7,1848,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,248,0,0,1479,0,0,266,7,0,0,0,183,0,0,0,10,384,0,0,4025,1,1,3,0,0,0,0,0,1,0,0,0,0,0,192,2,0,0,0,1448,7,0,0,0,0,0,0,14,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,1,0,0,0,0,0,0,0,0,423,101,0,0
0,2,0,0,0,4,0,0,0,2,0,18,0,0,0,3,0,70,0,2,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,256,0,0,0,0,0,4,0,7,0,0,4,4,1,18,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,31,1,0,86,0,0,25,2,0,0,0,6,0,1,1,1,21,0,0,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,14,0,0,1,0,1,1,0,0,0,5,0,0,3,54,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,38,0,0
0,19,0,0,0,74,0,0,0,6,0,86,0,0,0,9,0,4340,0,41,103,0,9,0,7,0,0,0,6,15,807,0,0,0,20,0,0,0,5,0,0,2479,0,0,0,0,0,97,0,18,2,0,10,7,194,475,0,0,0,0,0,0,0,322,0,1,0,0,1,0,0,77,254,8,0,802,0,0,152,10,0,0,0,103,0,6,6,27,623,1,0,25,3,3,1,0,0,0,0,0,1,0,0,0,0,0,42,4,0,0,2,9,40,0,0,25,14,0,0,59,282,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,375,136,0,0
0,8,48,0,0,102,0,0,0,5,0,428,0,0,0,9,0,29382,0,41,862,0,41,0,51,0,0,0,13,79,4221,1,1,1,30,2,0,1,9,104,0,12244,0,0,0,0,0,1081,0,108,3,0,15,29,393,7208,0,0,0,12,0,0,0,1525,0,0,0,0,1,0,0,219,606,14,0,2316,1,0,388,32,0,0,0,866,0,14,5,71,3412,1,0,1563,20,11,3,0,0,0,0,17,2,0,0,0,47,47,124,12,0,3,18,343,40,0,1,49,55,0,46,48,902,0,0,51,7,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1982,114,0,0
0,19,48,0,0,124,0,0,0,6,0,620,0,0,0,9,0,55535,0,51,1411,0,46,0,65,0,0,0,16,96,6941,1,1,1,30,2,0,1,9,118,0,21160,0,0,0,0,0,2659,0,79,3,0,17,35,439,14512,0,0,0,12,0,0,0,2783,0,0,0,0,1,0,0,221,810,21,0,3265,1,0,798,38,0,0,0,1271,0,18,5,100,5186,1,0,1969,23,10,3,0,0,0,0,0,1,0,0,0,0,0,167,16,0,6,22,239,50,0,1,62,63,0,8,69,1229,0,0,56,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2747,128,0,0
