system_call,chi_score
_exit,1958.749479
_llseek,14698.54105
_tvf,1
accept,981.9390863
access,177.9047484
"admax_vars[\""u",2
allocation\nD/dalvikvm,1
an,1
bind,303.1961094
body.appendChild,1
brk,2078.229912
catch,1
cba,1
chdir,113.2427184
chmod,298.4052584
clock_getres,0.111111111
clock_gettime,141546.0389
clock_nanosleep,657.7059503
clone,1176.523972
close,1.065018079
commons.init,0.2
connect,940.9337548
document.createElement,2.777777778
dup,532.5167358
eK\f,1
ej,1
ena,1
epoll_create,77.66622612
epoll_ctl,332.1571882
epoll_wait,45444.66769
execve,24.27504771
exit_group,155.5941454
fchmod,0.39964476
fdatasync,1545.599941
flock,0.613120269
for,2
fork,181.0407113
fsync,463.7093312
ftruncate,1237.916764
function,3
futex,538.6310132
getSize,1
getSuid,1
getcwd,1.080168776
getpeername,14.22222222
getpgid,145.3389831
getpid,4729.226745
getppid,146.173913
getpriority,1449.134421
getrlimit,21.2578633
getrusage,1068.791328
getsockname,1474.435448
getsockopt,156.6307587
gettid,5.645602609
gettimeofday,9086.64976
gtfs_trips,1
iQ,1
if,0.391304348
inet_addr,87.49201074
inotify_add_watch,0.016393443
inotify_init,0.090909091
inotify_rm_watch,0.727272727
ioctl,32823.62631
isNaN,1
kill,22.74169346
large,4
link,1
listen,0.328433857
ln,1
loadAd,5.444444444
lseek,504314.1416
madvise,1954.847196
mkdir,11368.70456
mlock,8
mprotect,7092.05255
msync,5.703947368
munlock,52.12765957
munmap,61512.71267
nanosleep,322.9295177
nu,1
oTÃ©\24\t,1
oU,1
open,296.7100897
parseInt,1
pipe,22.91396135
poll,529.6479853
prctl,5530.616567
read,1560418.33
readlink,10.49000951
readv,7
recvfrom,3604.463587
recvmsg,1005.255834
rename,304.0497247
restart_syscall,9.67656362
rgb,2
rgba,1
rmdir,0.816326531
rt_sigprocmask,9223.422096
rt_sigreturn,2505.937539
rt_sigtimedwait,13.84222661
scale3d,2
sched_get_priority_max,1
sched_get_priority_min,1
sched_getparam,7.787220976
sched_getscheduler,1.373784355
sched_setscheduler,2059.947393
sched_yield,1079915.482
"script\"":function",2
select,316.9538446
sendmsg,989.1936712
sendto,2756.976345
set_thread_area,1208.766334
setitimer,1
setpgid,5.069306931
setpriority,2.816266224
setsockopt,505.5709479
shutdown,679.7840752
sigaction,376.3058066
sigaltstack,2988.173682
sigprocmask,6135.876011
sigreturn,447.3431257
sigsuspend,3027.215103
socket,1024.513761
socketpair,3.902839742
st,0
st.nodeName,1
successionapostrophe,1
symlink,0.333333333
sysinfo,6
syslog,8
tgkill,6.513785775
this.A?Gy,1
thread.\nD/dalvikvm,1
timer_create,1
timerfd_create,1
timerfd_settime,1
tkill,9223.422096
to,1
truncate,11
uP,1
ukÂ»Ã¸R,1
umask,3927.364668
uname,74.97637795
unlink,101.5961654
url,8
utimes,337.0884574
vfork,1
waitpid,0
webviewDidAppear,1
webviewDidClose,1
webviewDidCloseHelper,1
window.addEventListener,1
write,84205.24563
writev,42514.37283
xS,1
yK,1
