system_call,chi_score,Feature_Rank
read,1560418.329662871,1.0
sched_yield,1079915.482441297,2.0
lseek,504314.141575635,3.0
clock_gettime,141546.03891117597,4.0
write,84205.24562511913,5.0
munmap,61512.71267483518,6.0
epoll_wait,45444.66768757448,7.0
writev,42514.372827085455,8.0
ioctl,32823.62630677354,9.0
_llseek,14698.541051431159,10.0
mkdir,11368.704564624824,11.0
tkill,9223.422096317281,12.5
rt_sigprocmask,9223.422096317281,12.5
gettimeofday,9086.64975992031,14.0
mprotect,7092.052550331682,15.0
sigprocmask,6135.876011480247,16.0
prctl,5530.616567173972,17.0
getpid,4729.226745441071,18.0
umask,3927.364668491459,19.0
recvfrom,3604.46358666999,20.0
sigsuspend,3027.2151029748284,21.0
sigaltstack,2988.173681834664,22.0
sendto,2756.976345193962,23.0
rt_sigreturn,2505.937538960229,24.0
brk,2078.2299124026586,25.0
sched_setscheduler,2059.947392933003,26.0
_exit,1958.7494794094794,27.0
madvise,1954.8471957247398,28.0
fdatasync,1545.5999412800275,29.0
getsockname,1474.4354478801404,30.0
getpriority,1449.1344212196602,31.0
ftruncate,1237.9167636507036,32.0
set_thread_area,1208.7663335086797,33.0
clone,1176.5239722281055,34.0
getrusage,1068.791327913279,35.0
socket,1024.5137605991201,36.0
recvmsg,1005.2558336526632,37.0
sendmsg,989.1936711694902,38.0
accept,981.9390862944163,39.0
connect,940.9337547982827,40.0
shutdown,679.7840752097584,41.0
clock_nanosleep,657.7059503177354,42.0
futex,538.6310132297154,43.0
dup,532.5167357505273,44.0
poll,529.647985293387,45.0
setsockopt,505.57094791824807,46.0
fsync,463.7093312281974,47.0
sigreturn,447.3431257344301,48.0
sigaction,376.30580655000193,49.0
utimes,337.08845738942824,50.0
epoll_ctl,332.15718816586104,51.0
nanosleep,322.9295176936276,52.0
select,316.95384464624027,53.0
rename,304.0497247206323,54.0
bind,303.19610936293515,55.0
chmod,298.40525838621943,56.0
open,296.71008971632153,57.0
fork,181.04071127749182,58.0
access,177.9047483779213,59.0
getsockopt,156.6307586896331,60.0
exit_group,155.5941453733565,61.0
getppid,146.17391304347825,62.0
getpgid,145.33898305084745,63.0
chdir,113.24271844660194,64.0
unlink,101.59616540510804,65.0
inet_addr,87.4920107375687,66.0
epoll_create,77.66622612038928,67.0
uname,74.97637795275591,68.0
munlock,52.12765957446808,69.0
execve,24.275047709923665,70.0
pipe,22.913961352035898,71.0
kill,22.741693461950696,72.0
getrlimit,21.257863304578635,73.0
getpeername,14.222222222222221,74.0
rt_sigtimedwait,13.842226613965744,75.0
truncate,11.0,76.0
readlink,10.49000951474786,77.0
restart_syscall,9.676563620260639,78.0
syslog,8.0,80.0
mlock,8.0,80.0
url,8.0,80.0
sched_getparam,7.7872209755521435,82.0
readv,7.0,83.0
tgkill,6.513785774594579,84.0
sysinfo,6.0,85.0
msync,5.703947368421052,86.0
gettid,5.645602609211916,87.0
loadAd,5.444444444444445,88.0
setpgid,5.069306930693069,89.0
large,4.0,90.0
socketpair,3.9028397422278878,91.0
function,3.0,92.0
setpriority,2.816266223672352,93.0
document.createElement,2.7777777777777777,94.0
scale3d,2.0,97.0
for,2.0,97.0
rgb,2.0,97.0
"admax_vars[\""u",2.0,97.0
"script\"":function",2.0,97.0
sched_getscheduler,1.373784355179704,100.0
getcwd,1.080168776371308,101.0
close,1.065018079478422,102.0
window.addEventListener,1.0,123.0
successionapostrophe,1.0,123.0
to,1.0,123.0
ej,1.0,123.0
_tvf,1.0,123.0
st.nodeName,1.0,123.0
webviewDidCloseHelper,1.0,123.0
webviewDidAppear,1.0,123.0
uP,1.0,123.0
vfork,1.0,123.0
this.A?Gy,1.0,123.0
thread.\nD/dalvikvm,1.0,123.0
ukÂ»Ã¸R,1.0,123.0
timer_create,1.0,123.0
timerfd_create,1.0,123.0
timerfd_settime,1.0,123.0
allocation\nD/dalvikvm,1.0,123.0
webviewDidClose,1.0,123.0
eK\f,1.0,123.0
yK,1.0,123.0
getSize,1.0,123.0
ln,1.0,123.0
xS,1.0,123.0
isNaN,1.0,123.0
nu,1.0,123.0
oTÃ©\24\t,1.0,123.0
oU,1.0,123.0
parseInt,1.0,123.0
an,1.0,123.0
rgba,1.0,123.0
iQ,1.0,123.0
ena,1.0,123.0
sched_get_priority_max,1.0,123.0
sched_get_priority_min,1.0,123.0
getSuid,1.0,123.0
cba,1.0,123.0
setitimer,1.0,123.0
link,1.0,123.0
body.appendChild,1.0,123.0
catch,1.0,123.0
gtfs_trips,1.0,123.0
rmdir,0.8163265306122449,144.0
inotify_rm_watch,0.7272727272727273,145.0
flock,0.6131202691337259,146.0
fchmod,0.3996447602131439,147.0
if,0.391304347826087,148.0
symlink,0.3333333333333333,149.0
listen,0.3284338570704511,150.0
commons.init,0.2,151.0
clock_getres,0.1111111111111111,152.0
inotify_init,0.09090909090909091,153.0
inotify_add_watch,0.01639344262295082,154.0
waitpid,0.0,155.5
st,0.0,155.5
